Method,Path len. ↓,Min battery ↑,Recharge visits,Batt. warnings,Graph updates ↑,Fairness std ↓
HGRL-UGV,1.234 +/- 0.128,0.203 +/- 0.016,5.66 +/- 0.48,8.00 +/- 0.00,0.00 +/- 0.00,0.490 +/- 0.076
CFR-MARL,1.318 +/- 0.148,0.204 +/- 0.015,5.73 +/- 0.55,8.00 +/- 0.00,0.00 +/- 0.00,0.539 +/- 0.086
MW-MADDPG,1.316 +/- 0.142,0.204 +/- 0.015,5.72 +/- 0.53,8.00 +/- 0.00,0.00 +/- 0.00,0.540 +/- 0.099
TANet-TD3,1.317 +/- 0.142,0.204 +/- 0.015,5.73 +/- 0.55,8.00 +/- 0.00,0.00 +/- 0.00,0.537 +/- 0.092
AHG-FMARL,1.324 +/- 0.148,0.205 +/- 0.015,5.79 +/- 0.71,8.00 +/- 0.00,0.11 +/- 0.53,0.526 +/- 0.094
