Method,Obj. score ↓,TC (%) ↑,TCR ↓,CR (%) ↓,Energy ↓,AR ↑
HGRL-UGV,79.89 +/- 105.76,99.88 +/- 1.25,1.810 +/- 0.129,11.61 +/- 5.62,5.821 +/- 0.118,144.99 +/- 20.01
CFR-MARL,83.58 +/- 124.93,99.88 +/- 1.25,1.962 +/- 0.216,9.01 +/- 4.51,5.813 +/- 0.121,141.35 +/- 19.40
MW-MADDPG,83.56 +/- 124.92,99.88 +/- 1.25,1.952 +/- 0.197,9.02 +/- 4.49,5.815 +/- 0.122,141.37 +/- 19.41
TANet-TD3,83.45 +/- 125.01,99.88 +/- 1.25,1.958 +/- 0.187,8.89 +/- 4.66,5.813 +/- 0.121,141.65 +/- 19.58
AHG-FMARL,79.21 +/- 107.33,99.88 +/- 1.25,1.964 +/- 0.223,8.84 +/- 4.61,5.803 +/- 0.126,145.87 +/- 18.84
