Method,Completion rate ↑,Time index ↓,Energy index ↓,Risk index ↓,Battery index ↑,Objective index ↓
HGRL-UGV,0.999 +/- 0.013,0.724 +/- 0.052,0.832 +/- 0.017,0.116 +/- 0.056,0.678 +/- 0.054,0.799 +/- 1.058
CFR-MARL,0.999 +/- 0.013,0.785 +/- 0.086,0.830 +/- 0.017,0.090 +/- 0.045,0.680 +/- 0.051,0.836 +/- 1.249
MW-MADDPG,0.999 +/- 0.013,0.781 +/- 0.079,0.831 +/- 0.017,0.090 +/- 0.045,0.679 +/- 0.051,0.836 +/- 1.249
TANet-TD3,0.999 +/- 0.013,0.783 +/- 0.075,0.830 +/- 0.017,0.089 +/- 0.047,0.680 +/- 0.051,0.834 +/- 1.250
AHG-FMARL,0.999 +/- 0.013,0.786 +/- 0.089,0.829 +/- 0.018,0.088 +/- 0.046,0.682 +/- 0.050,0.792 +/- 1.073
