scenario_id,method,reward_mean,total_cost,makespan,avg_path_length,collision_risk,completed,graph_updates,episodes,objective
3,centralized_feedback_graph_rl,-50.525566586801624,146.32915029966892,8.055228474983084,3.4802284749830807,0.2430706152921251,4,601,120,350.77428301633915
6,centralized_feedback_graph_rl,-99.89637573944167,142.76068743301485,8.635127462305412,5.340930735378595,0.13928353622652395,3,686,120,378.2768597114308
8,centralized_feedback_graph_rl,16.908859815761627,63.15617241494121,9.4635545870516,4.657106781186546,0.0,4,0,120,246.8150588825702
