scenario_id,method,total_cost,makespan,avg_path_length,collision_risk,energy_used,completed,replans,graph_updates,fairness_std,min_battery,battery_warnings,recharge_visits,objective
0,static_graph,8.408489649202476,0.8269574482612416,0.6223622269248968,0.0,6.839892403421572,6,0,0,0.1263125361616327,0.0,8,0,163.07935987340102
0,central_feedback_static_topology,8.427987020599684,0.7513937551003607,0.6174311130871218,0.0,6.840325101101331,6,0,0,0.0699343821694465,0.0,8,0,162.62840340007887
0,adaptive_feedback_hgrl,15.17427828671137,1.7524508375731929,1.3187165355931854,0.014283060454159651,5.470972254016776,8,32,0,0.42362015201371134,0.20782415178820898,8,7,108.10611739614342
1,static_graph,8.622423516499952,0.7763970210627735,0.5876202750177877,0.0,7.07931739873121,6,0,0,0.13508898195063565,0.0,8,0,163.40231489789502
1,central_feedback_static_topology,8.605743959177447,0.7513937551003608,0.5876202750177877,0.0,7.079805026173634,6,0,0,0.11965624857519434,0.0,8,0,163.24635361074323
1,adaptive_feedback_hgrl,16.995937753566523,1.6768192112188773,1.3990899709751,0.016170187330103492,5.503402632231318,8,32,0,0.32771056163871914,0.20741877274921047,8,8,109.46646772580985
2,static_graph,8.9588278056083,0.9337498619335887,0.6059493738720354,0.0,7.321902586691614,4,0,0,0.12626484170441982,0.0,8,0,214.28204873831766
2,central_feedback_static_topology,9.179776742557975,0.728733101695875,0.6059493738720354,0.0,7.320853158703602,4,0,0,0.07929037501612776,0.0,8,0,213.75474389884118
2,adaptive_feedback_hgrl,17.854398404153102,1.8521594037674567,1.4814020371938272,0.033238769729463186,5.533738198576425,8,32,0,0.37380278528642075,0.20782782521163534,8,9,112.35281608634939
3,static_graph,8.911571015327276,0.8942508979575036,0.6461717507344207,0.0,6.839162745120246,6,0,0,0.1535503168734199,0.0,8,0,163.88628004068434
3,central_feedback_static_topology,8.738861731902658,0.7316692997492609,0.6461717507344207,0.0,6.842811443146823,6,0,0,0.07486191292868384,0.0,8,0,162.9165937004367
3,adaptive_feedback_hgrl,17.49963444586262,1.9113327698207558,1.4287479723446055,0.06780970427551802,5.611104418450258,8,32,0,0.4603053418304523,0.20720380454636386,8,6,115.45286761539113
4,static_graph,10.228158493551302,0.851865789201918,0.6615610180962834,0.0,7.082403575126939,6,0,0,0.14538740775752762,0.0,8,0,165.2506828654453
4,central_feedback_static_topology,10.091438491108072,0.8269073949873561,0.6566299042585085,0.0,7.083063846644049,6,0,0,0.08459301402636583,0.0,8,0,164.74812312602353
4,adaptive_feedback_hgrl,19.004937677000825,1.8233020757529952,1.486283727838094,0.06499940918748186,5.487079629698514,8,32,0,0.33807299600231483,0.20742497670598786,8,8,115.78630103220317
5,static_graph,9.394303494925438,0.9110840270030682,0.6511028645721956,0.0,7.327248544673205,4,0,0,0.19502091392825718,0.0,8,0,215.00891696781295
5,central_feedback_static_topology,9.804109247303465,0.8384617134216079,0.6511028645721956,0.0,7.32283356419919,4,0,0,0.15728722823784885,0.0,8,0,215.0449665234061
5,adaptive_feedback_hgrl,20.954518136554064,1.883438177552808,1.570089507054611,0.09082660871464134,5.886536237412332,8,32,0,0.4252238497443192,0.2058403679062063,8,7,120.82656292329338
6,static_graph,9.84750177626894,0.9698145911183845,0.6957959445292312,0.0,6.8436735309415635,6,0,0,0.16437729555872627,0.0,8,0,165.06886355661177
6,central_feedback_static_topology,9.784112241923307,0.8436956522850699,0.6971173598164777,0.0,6.8466201672896085,6,0,0,0.13852267990270117,0.0,8,0,164.56326090598117
6,adaptive_feedback_hgrl,16.315964394376806,1.7883975802906689,1.3856370158736575,0.030004211040483526,5.473895502584203,8,32,1,0.37017686018767,0.20665458046046106,8,7,110.4182023968133
7,static_graph,9.073860520370683,0.9554969093139264,0.6338476167508077,0.0,7.080566762600203,6,0,0,0.21072509909684847,0.0,8,0,164.68068169921992
7,central_feedback_static_topology,9.025931412616018,0.7983240964267273,0.6206566270987752,0.0,7.081795593921765,6,0,0,0.11139388653129696,0.0,8,0,163.74414756147672
7,adaptive_feedback_hgrl,28.32281592010234,2.3490607121264704,1.9055090470108829,0.061671308031941464,5.522947835530707,8,32,0,0.5592191175305897,0.20528975757601575,8,8,127.44689438085017
