scenario_id,method,total_cost,makespan,avg_path_length,collision_risk,energy_used,completed,replans,graph_updates,fairness_std,min_battery,battery_warnings,recharge_visits,objective
0,static_graph,4.853365956433457,0.919152616370245,0.6034027698352826,0.0,1.317856254460181,8,0,0,0.1987827132477449,0.772936446453347,0,0,59.19944606716594
0,central_feedback_static_topology,3.7589497444659,0.775332396628342,0.46588663996230495,0.0,1.3093198080068342,8,0,0,0.20276185836294394,0.7779652173913044,0,0,57.75854587425694
0,adaptive_feedback_hgrl,3.7589497444659004,0.7753323966283419,0.46588663996230495,0.0,1.309071326333648,8,32,0,0.20276185836294394,0.7780116328767115,0,0,57.75834708891839
1,static_graph,31.073488732937626,0.9348059843151681,0.6249788815999516,0.0,1.3192950630410303,8,0,0,0.1938604103795531,0.7727377884440648,0,0,85.43524179605613
1,central_feedback_static_topology,28.456122251785253,0.8263594923967187,0.5753829299542049,0.0,1.3163492772276424,8,0,0,0.21011429799848763,0.774152495766977,0,0,82.6256718945516
1,adaptive_feedback_hgrl,28.456122251785253,0.8263594923967187,0.5753829299542049,0.0,1.3159038948291424,8,32,0,0.21011429799848763,0.7742881196819827,0,0,82.6253155886328
2,static_graph,4.904303907531449,0.9093370087661723,0.6085900291219419,0.0,1.3182535704787455,8,0,0,0.1945481481149029,0.772936446453347,0,0,59.20499002640439
2,central_feedback_static_topology,3.7589497444659,0.775332396628342,0.46369498541227716,0.0,1.309319808006834,8,0,0,0.20165887612183048,0.7779652173913044,0,0,57.75303096305137
2,adaptive_feedback_hgrl,3.7589497444659004,0.7753323966283419,0.46369498541227716,0.0,1.3089345670897263,8,32,0,0.20165887612183048,0.777921508381183,0,0,57.75272277031769
3,static_graph,4.922313192852019,0.9093370087661723,0.6122734994025224,0.26965756393377016,1.3183940429042456,8,0,0,0.1863034425716865,0.772936446453347,0,0,80.75449327665089
3,central_feedback_static_topology,3.823527195519751,0.7054419365681516,0.47720632552570996,0.30380289847809394,1.309823512125054,8,0,33,0.17809320251801844,0.7750294146458243,0,0,81.82968873747778
3,adaptive_feedback_hgrl,5.477442157142763,0.9584642736301398,0.5780781344596484,0.10319049708694908,1.316072075590282,8,32,1,0.19355889737994528,0.7760853837817695,0,0,68.14949475554599
4,static_graph,38.73458033029913,1.0032291961354016,0.6365442072266833,0.0,1.3201378975940328,8,0,0,0.20740239958198,0.7720936119003443,0,0,93.33577563662277
4,central_feedback_static_topology,33.89728668438529,0.8263594923967187,0.5542626608143324,0.0,1.3150750423302306,8,0,0,0.19415836953609045,0.7750294146458243,0,0,87.98603729692172
4,adaptive_feedback_hgrl,33.89728668438529,0.8263594923967187,0.5542626608143324,0.0,1.3145859900348147,8,32,0,0.19415836953609045,0.775110615015624,0,0,87.9856460550854
5,static_graph,4.889384527074596,0.9093370087661723,0.6066781402149158,0.0,1.318137199311182,8,0,0,0.1963273212053504,0.772936446453347,0,0,59.19887341446572
5,central_feedback_static_topology,3.7949683151070386,0.775332396628342,0.4698477803364101,0.0,1.3096007528578348,8,0,0,0.19847253442736548,0.7779652173913044,0,0,57.77334258110099
5,adaptive_feedback_hgrl,3.794968315107039,0.7753323966283419,0.4698477803364101,0.0,1.3093185014929922,8,32,0,0.19847253442736545,0.777921508381183,0,0,57.77311678000911
6,static_graph,4.853365956433457,0.9093370087661723,0.6021758188847735,0.27885318413687654,1.317856254460181,8,0,0,0.19685092277640337,0.772936446453347,0,0,81.47350282674917
6,central_feedback_static_topology,3.7589497444659,0.775332396628342,0.46588663996230495,0.33388963053806725,1.3093198080068342,8,0,36,0.20276185836294394,0.7779652173913044,0,0,84.46971631730233
6,adaptive_feedback_hgrl,7.028182352022813,0.8622889183674725,0.5963927050639851,0.12649829834261048,1.3172149047959927,8,32,4,0.1991649869382732,0.7734731484254926,0,0,71.35336537387849
7,static_graph,40.63770098896435,0.9093370087661723,0.6145969610438059,0.0,1.3186990890131836,8,0,0,0.18810643795593346,0.772936446453347,0,0,94.90653497187
7,central_feedback_static_topology,31.080922767438658,0.76725233665885,0.47558161036202634,0.0,1.309881697708836,8,0,0,0.19233363366075934,0.7776842725403035,0,0,85.00862713555665
7,adaptive_feedback_hgrl,31.080922767438658,0.76725233665885,0.47558161036202634,0.0,1.3096762924865906,8,32,0,0.19233363366075934,0.7776789070212848,0,0,85.00846281137885
8,static_graph,40.903390507981634,0.9093370087661723,0.6252207450679653,0.0,1.3193773498827488,8,0,0,0.19100462639024562,0.772936446453347,0,0,95.18725804175449
8,central_feedback_static_topology,36.75678546612206,0.8263594923967187,0.5616056537684205,0.0,1.3153559871812317,8,0,0,0.18723046803539556,0.7750294146458243,0,0,90.81112132703582
8,adaptive_feedback_hgrl,36.75678546612206,0.8263594923967187,0.5616056537684205,0.0,1.3150441927951495,8,32,0,0.18723046803539556,0.7750001395241013,0,0,90.81087189152694
