training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1700,S5,paper1_deep_hgrl_ugv_assisted,0.05744828283786774,0.05151332382882856,0.01899315099217347,0.26119578203361016,1.2948639243841171,1.4138801097869873,1.0,0.0,cuda
1800,S53,paper1_deep_hgrl_ugv_assisted,0.0165867879986763,0.014738349010257279,0.007711456994002219,0.16217182051163093,1.2645622044801712,1.4952972382307053,1.0,0.0,cuda
1900,S21,paper1_deep_hgrl_ugv_assisted,0.05797890946269035,0.05413747638522182,0.014581545107404281,0.27202610651791304,1.212193176150322,1.3532671183347702,1.0,0.0,cuda
2000,S18,paper1_deep_hgrl_ugv_assisted,0.0392896793782711,0.03631524700904265,0.013075693088467233,0.2909631305330236,1.2999145686626434,1.5015306621789932,1.0,0.0,cuda
2100,S94,paper1_deep_hgrl_ugv_assisted,0.03231991082429886,0.025927758979378268,0.01712416604277678,0.13137229905886466,1.1771770417690277,1.3994089215993881,1.0,0.0,cuda
2200,S16,paper1_deep_hgrl_ugv_assisted,0.01662234030663967,0.008902130573005707,0.01945865518428036,0.10361848159118381,1.2745316475629807,1.4113594591617584,1.0,0.0,cuda
2300,S5,paper1_deep_hgrl_ugv_assisted,0.020885998383164406,0.014765913267638098,0.01635113204974914,0.1237924142042175,1.2948639243841171,1.4138801097869873,1.0,0.0,cuda
2400,S47,paper1_deep_hgrl_ugv_assisted,0.00542631559073925,0.0018801517183959504,0.008515033754520118,0.028560148557920995,1.2245245724916458,1.4729937613010406,1.0,0.0,cuda
2500,S82,paper1_deep_hgrl_ugv_assisted,0.012354199774563313,0.009133294618855814,0.008820214265142567,0.07481910804385665,1.1923714652657509,1.4555232152342796,1.0,0.0,cuda
2600,S8,paper1_deep_hgrl_ugv_assisted,0.049755923449993134,0.040291444423906864,0.027401457678934094,0.2866174993124275,1.368886485695839,1.5015903413295746,1.0,0.0,cuda
2700,S48,paper1_deep_hgrl_ugv_assisted,0.020339731127023697,0.009570764571023016,0.0256149971683044,0.07577803003962535,1.1752907037734985,1.4593431949615479,1.0,0.0,cuda
2800,S2,paper1_deep_hgrl_ugv_assisted,0.031027980148792267,0.020468362435508425,0.028358989831758663,0.22019276183358727,1.396485149860382,1.4933184087276459,1.0,0.0,cuda
2900,S9,paper1_deep_hgrl_ugv_assisted,0.029471423476934433,0.024729801929943562,0.014180629752445384,0.16396625560764733,1.2044913321733475,1.3492239117622375,1.0,0.0,cuda
3000,S92,paper1_deep_hgrl_ugv_assisted,0.028928054496645927,0.022519831531098156,0.0184326986659471,0.1886490505148808,1.333484634757042,1.5480686873197556,1.0,0.0,cuda
3100,S42,paper1_deep_hgrl_ugv_assisted,0.04308165982365608,0.03528538865065567,0.021635476645315066,0.19396942981907728,1.401721328496933,1.543182522058487,1.0,0.0,cuda
3200,S76,paper1_deep_hgrl_ugv_assisted,0.01869913935661316,0.003013801801635907,0.03576428771702922,0.04085913497215188,1.0397772789001465,1.2476029768586159,1.0,0.0,cuda
