scenario_id,method,reward_mean,total_cost,makespan,avg_path_length,collision_risk,completed,graph_updates,episodes,min_battery,battery_warnings,recharge_visits,objective
0,centralized_feedback_graph_rl,24.874168511945182,133.23983528803507,8.02761423749154,7.105473785412436,0.0,1,7,120,0.0,8,0,475.80887088176394
1,centralized_feedback_graph_rl,36.89905885216247,169.00121199955538,8.055228474983078,8.010355339059327,0.0842006018886808,0,28,120,0.0,8,0,560.0593433758811
2,centralized_feedback_graph_rl,33.479442251386395,159.23860715460478,8.055228474983078,7.100592231765545,0.0,1,18,120,0.0,8,0,501.87667834206246
3,centralized_feedback_graph_rl,8.678335210582054,138.07006736914866,11.31370849898476,7.523139127471973,0.0,1,48,120,0.0,8,0,488.85433861661056
4,centralized_feedback_graph_rl,37.68338032066045,146.03653452773545,8.193299662440777,7.164399350511317,0.0,1,25,120,0.0,8,0,489.01978368383743
5,centralized_feedback_graph_rl,29.736020267815334,155.44576365029835,11.28609426149322,7.469095116019987,0.0,1,26,120,0.0,8,0,506.1609993040314
6,centralized_feedback_graph_rl,23.946218539692886,110.49656507163633,9.656854249492383,5.574957911384308,0.0,3,22,120,0.0,8,0,377.1387006953673
7,centralized_feedback_graph_rl,38.21070097508242,134.38361867333785,8.027614237491537,6.2172588984322115,0.0,2,15,120,0.0,8,0,436.9526542670667
